Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.704085350036621	0	27.56756756756757	14.039597554370205	81.0	9.0	27.56756756756757	14.039597554370205	1020	1020
1.9494116306304932	1	30.606060606060606	15.96006264501147	66.0	11.0	30.606060606060606	15.96006264501147	1010	2030
2.154355049133301	2	42.48	25.842786227494898	100.0	11.0	42.48	25.842786227494898	1062	3092
2.325514793395996	3	39.19230769230769	24.409990437034068	111.0	11.0	39.19230769230769	24.409990437034068	1019	4111
2.4992852210998535	4	40.4	18.8	85.0	11.0	40.4	18.8	1010	5121
2.668470621109009	5	50.45	47.24878305311154	170.0	11.0	50.45	47.24878305311154	1009	6130
2.864581823348999	6	63.8235294117647	58.862986766495844	200.0	10.0	63.8235294117647	58.862986766495844	1085	7215
3.039642095565796	7	59.294117647058826	50.641490436530574	195.0	15.0	59.294117647058826	50.641490436530574	1008	8223
3.2249832153320312	8	52.05	40.661376021969545	200.0	14.0	52.05	40.661376021969545	1041	9264
3.4024195671081543	9	62.05882352941177	32.25353713066904	143.0	18.0	62.05882352941177	32.25353713066904	1055	10319
6.929311513900757	10	59.529411764705884	31.706591719664676	135.0	21.0	59.529411764705884	31.706591719664676	1012	11331
7.10168719291687	11	78.23076923076923	41.8240892055024	200.0	34.0	78.23076923076923	41.8240892055024	1017	12348
7.294939279556274	12	60.73684210526316	39.72648871744361	164.0	22.0	60.73684210526316	39.72648871744361	1154	13502
7.487584590911865	13	81.14285714285714	46.64739641005417	152.0	21.0	81.14285714285714	46.64739641005417	1136	14638
7.665008306503296	14	79.38461538461539	35.773945098758595	168.0	39.0	79.38461538461539	35.773945098758595	1032	15670
7.850690126419067	15	76.57142857142857	49.62820955538764	171.0	17.0	76.57142857142857	49.62820955538764	1072	16742
8.046029090881348	16	86.15384615384616	40.00355013831446	152.0	31.0	86.15384615384616	40.00355013831446	1120	17862
8.23432183265686	17	98.63636363636364	44.882214998153735	173.0	37.0	98.63636363636364	44.882214998153735	1085	18947
8.410257339477539	18	104.2	38.36873727398388	200.0	53.0	104.2	38.36873727398388	1042	19989
8.583163261413574	19	91.9090909090909	40.7016965146854	200.0	47.0	91.9090909090909	40.7016965146854	1011	21000
18.897318840026855	20	128.25	45.34520371549785	193.0	68.0	128.25	45.34520371549785	1026	22026
19.07840657234192	21	95.45454545454545	45.97106527996939	177.0	39.0	95.45454545454545	45.97106527996939	1050	23076
19.269595623016357	22	115.4	51.217575108550385	187.0	43.0	115.4	51.217575108550385	1154	24230
19.437482595443726	23	113.66666666666667	66.40113787512313	200.0	28.0	113.66666666666667	66.40113787512313	1023	25253
19.612671852111816	24	113.88888888888889	43.472710327398225	200.0	44.0	113.88888888888889	43.472710327398225	1025	26278
19.81830382347107	25	150.0	51.713151131989626	200.0	62.0	150.0	51.713151131989626	1200	27478
19.981356143951416	26	113.44444444444444	30.63807040308987	172.0	63.0	113.44444444444444	30.63807040308987	1021	28499
20.159458875656128	27	112.44444444444444	53.2418196348011	200.0	32.0	112.44444444444444	53.2418196348011	1012	29511
20.340101718902588	28	147.14285714285714	61.901831432469564	200.0	24.0	147.14285714285714	61.901831432469564	1030	30541
20.517314434051514	29	168.0	44.41846462902562	200.0	78.0	168.0	44.41846462902562	1008	31549
25.157326459884644	30	127.75	50.48205126577168	200.0	49.0	127.75	50.48205126577168	1022	32571
25.35033679008484	31	122.88888888888889	46.08071287171491	200.0	29.0	122.88888888888889	46.08071287171491	1106	33677
25.55240511894226	32	165.14285714285714	49.599621460043345	200.0	58.0	165.14285714285714	49.599621460043345	1156	34833
25.75471019744873	33	145.0	45.51922670696417	200.0	87.0	145.0	45.51922670696417	1160	35993
25.938490390777588	34	148.57142857142858	51.64122700450303	200.0	55.0	148.57142857142858	51.64122700450303	1040	37033
26.114325761795044	35	167.5	45.52563380485036	200.0	95.0	167.5	45.52563380485036	1005	38038
26.31255602836609	36	187.5	16.660832312142553	200.0	163.0	187.5	16.660832312142553	1125	39163
26.512105226516724	37	189.0	15.726834816113932	200.0	163.0	189.0	15.726834816113932	1134	40297
26.715142488479614	38	145.75	44.05607222619829	193.0	50.0	145.75	44.05607222619829	1166	41463
26.908763647079468	39	181.66666666666666	31.83638728806325	200.0	113.0	181.66666666666666	31.83638728806325	1090	42553
37.14941883087158	40	157.0	49.00437298271014	200.0	47.0	157.0	49.00437298271014	1099	43652
37.350789308547974	41	193.33333333333334	13.609637108395734	200.0	163.0	193.33333333333334	13.609637108395734	1160	44812
37.557666540145874	42	197.5	5.5901699437494745	200.0	185.0	197.5	5.5901699437494745	1185	45997
37.74998116493225	43	183.33333333333334	23.6337799675709	200.0	147.0	183.33333333333334	23.6337799675709	1100	47097
37.96618127822876	44	200.0	0.0	200.0	200.0	200.0	0.0	1200	48297
38.16151022911072	45	199.33333333333334	1.4907119849998598	200.0	196.0	199.33333333333334	1.4907119849998598	1196	49493
38.37151503562927	46	199.33333333333334	1.49071198499986	200.0	196.0	199.33333333333334	1.49071198499986	1196	50689
38.58075213432312	47	168.42857142857142	41.58934321899969	200.0	85.0	168.42857142857142	41.58934321899969	1179	51868
38.780189514160156	48	197.5	5.5901699437494745	200.0	185.0	197.5	5.5901699437494745	1185	53053
38.96055340766907	49	172.83333333333334	27.757381400669303	200.0	139.0	172.83333333333334	27.757381400669303	1037	54090
49.75764203071594	50	200.0	0.0	200.0	200.0	200.0	0.0	1200	55290
49.9675087928772	51	200.0	0.0	200.0	200.0	200.0	0.0	1200	56490
